source,target
0,2080
0,6090
0,8741
0,6731
0,2372
0,2008
0,2653
0,627
0,2394
0,3491
0,4333
0,1620
1,6059
1,74
1,8169
1,6752
1,1926
1,1385
1,7622
1,3807
1,7332
1,7311
1,7938
1,2773
1,254
1,7366
1,8798
1,2639
1,3914
1,3979
1,5138
1,4655
1,6505
1,6375
1,1246
1,8188
1,1357
1,8196
1,373
1,1016
1,2237
1,4735
1,7004
2,8619
2,5725
2,6685
2,6385
2,8231
2,1143
2,2369
2,9274
2,8167
2,1252
2,4365
2,9240
2,789
2,8042
2,7567
2,5668
2,348
2,7725
2,5397
2,5530
2,262
2,3146
3,3110
3,459
3,6681
3,7503
3,634
3,2833
3,1592
3,9452
3,758
3,8784
3,5124
3,7517
3,1012
4,5070
4,5085
4,8342
4,7185
4,6253
4,5622
4,3714
4,1569
4,8070
4,4568
4,9403
4,5211
5,8589
5,8178
5,2531
5,6470
5,7751
5,7718
5,319
5,997
5,7974
6,4373
6,9081
6,7813
6,4771
6,6503
7,4451
7,5508
7,3350
7,4601
7,6790
7,5691
7,2364
7,8395
7,8927
7,2970
8,9298
8,8852
8,2747
8,3506
8,5290
8,6395
8,3673
8,5571
9,1881
9,7627
9,6588
9,5915
9,3525
9,7784
9,7909
9,118
9,7830
9,286
9,5180
9,4353
9,9006
9,776
9,892
9,8874
9,7454
9,3473
9,9303
9,5467
9,5921
9,3905
9,9217
9,935
9,2130
9,1247
9,4378
9,201
9,8224
9,661
9,366
9,3464
9,7569
9,2012
9,7928
9,2508
9,718
9,4462
9,5038
9,927
9,5508
9,101
9,7542
9,2086
9,6596
9,7930
9,4741
9,1508
9,8703
9,2908
9,1002
9,8468
9,6972
9,2397
9,7629
9,1456
9,5013
9,1099
9,2664
9,5918
9,6141
9,844
9,4726
9,5378
9,5806
9,1384
9,3389
9,8258
9,7160
9,1612
9,8170
9,2092
9,4094
9,1813
9,7861
9,4705
9,6901
9,8185
9,8286
9,6102
9,8507
9,6812
9,8383
9,6326
9,8479
9,1141
9,6212
9,2165
9,3326
9,7548
9,2260
9,6435
9,5121
9,4432
9,9002
9,2647
9,8381
9,7704
9,5355
9,6255
9,4927
9,7277
9,3519
9,2693
9,4689
9,1992
9,438
9,7095
9,6034
9,4426
9,8826
9,2637
9,3438
9,6874
9,5456
9,213
9,680
9,2486
9,1801
9,5048
9,3775
9,7079
9,2520
9,2167
9,8489
9,9338
9,8580
9,6243
9,3114
9,589
9,3994
9,1046
9,9103
9,9107
9,8243
9,5325
9,6264
9,3196
9,5691
9,4361
9,2920
9,6170
9,1190
9,5870
9,9201
9,2039
9,3193
9,1717
9,9356
9,5329
9,8755
9,1043
9,6523
9,1156
9,6888
9,7934
9,7979
9,358
9,420
9,4724
9,8219
9,7525
9,7134
9,8830
9,1797
9,5273
9,1505
9,3646
9,7762
9,1137
9,4341
9,9383
9,9259
9,7956
9,2557
9,7094
9,4306
9,6865
9,5601
9,3253
9,394
9,60
9,7734
9,2871
9,9029
9,796
9,2058
9,6962
9,4158
9,3307
9,7573
9,2402
9,8813
9,2836
9,5676
9,3298
9,1843
